wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
460.733,140.6135991,80.70021025,269.896399,128.9924992,70.05563711,152.5011218,166.9995529,161.5299583,220.7154723,110.491242,181.3871226,104.4393983,94.32826515,428.6020254,183.1540792,141.3877013,81.36288986,193.7456976,407.787074,88.71298333,126.8776319,126.8776319,52.80860558
461.811,89.50403869,114.2328814,200.8072361,132.8651081,128.3311659,107.1294118,124.6046074,109.3834735,274.7809649,4.97568868,96.15567333,39.41040636,92.78944453,407.326471,133.1793844,49.49147473,35.72836097,180.8189077,406.1860895,97.66178837,157.1981998,157.1981998,26.75969409
462.89,50.40946919,62.29053958,258.9969538,111.6677096,41.69168545,85.89469292,164.9056523,165.9285872,194.1543504,11.81492701,73.13021634,60.76340842,73.5966151,389.7707944,177.9746811,54.15923992,53.25982115,191.1401098,381.3729696,51.79558538,97.41275807,97.41275807,69.45277277
463.966,46.61789029,54.93068441,183.3365484,125.7773033,-0.405804577,65.56296477,122.4816874,86.76809615,198.0596251,35.39865671,111.4457514,31.92040435,-0.480623398,334.0639915,98.20396884,50.46469661,22.45227005,102.8963033,370.4747101,21.68837413,62.66730641,62.66730641,22.92584133
465.044,62.37230172,66.17681547,190.388016,95.22988903,67.22769555,86.1322271,153.4927122,120.0990973,226.1477857,71.09777754,143.2702784,41.18339397,70.49992875,378.7640585,145.7932475,78.40054454,34.39870733,179.2164883,354.8973063,83.64615436,95.79384453,95.79384453,8.920899471
466.12,58.60970319,88.60693236,138.7963527,43.2334665,26.9501896,98.33147964,156.5927266,68.76318729,227.2608287,12.82318925,70.86479691,33.6923771,96.86707609,374.1619911,92.89051684,21.66688347,13.77213267,157.8606643,320.6757539,44.20392583,53.55137213,53.55137213,79.60794688
467.197,60.45009441,81.26803467,159.7705547,132.7020355,24.80368133,48.13772208,166.1857302,149.600863,182.7357506,29.91739157,107.3163068,54.11435356,73.90222315,366.7387854,141.4117765,58.93251313,14.52954571,107.596831,372.9940484,117.3816883,89.47488892,89.47488892,37.69898328
468.273,32.53647511,56.24512199,179.7826179,92.7155958,106.4531745,92.86695415,164.5417227,116.8565213,210.794548,-0.483615743,113.9298078,5.59532317,84.43937447,403.0274371,160.0990262,15.20283329,55.30294612,159.6889884,341.4621851,39.69544151,65.78139458,65.78139458,-0.488991655
469.349,23.33984499,-0.415806087,172.6965387,86.14514713,87.46867293,29.47717557,86.39070366,85.95145881,255.5542172,35.22646705,113.9092996,4.50228574,95.88153457,377.7319421,137.6862658,12.46454368,46.65033356,180.932136,370.3411595,57.86918522,44.81188881,44.81188881,192.3454218
470.426,29.19320379,68.70925003,150.5773129,106.4256893,30.22118034,81.43938604,152.4066729,20.59647236,200.5517548,16.89864453,36.43778205,0.529241091,31.85940799,320.6132962,80.65249479,-0.479355948,-0.283292312,122.8252736,307.7769669,-0.388080825,-0.444628687,-0.444628687,134.6749282
471.501,2.606551199,30.8082941,172.0949367,116.3122219,55.7717005,38.32658527,171.6616301,69.75975867,230.1781571,23.69392128,119.8782549,39.28318904,75.80989927,384.3684952,129.6027131,61.98983415,15.08606817,147.4264009,371.6646028,57.66364313,53.83784178,53.83784178,64.06303218
