Wavenumber,Average_Intensity
1410.62,461.4337141913044
1411.52,427.4181175086957
1412.42,450.15264046956526
1413.32,470.39270947826077
1414.21,476.9920552391304
1415.11,472.3521476173913
1416.01,464.22306516086957
1416.91,485.53975592173913
1417.81,493.5677332043478
1418.71,500.8201189826087
1419.6,515.6573395478262
1420.5,537.7263429565216
1421.4,553.6214250565216
1422.29,571.9970990391304
1423.19,602.7160955260871
1424.09,635.3548407826086
1424.98,657.1405870521739
1425.88,712.9938475478261
1426.77,752.2467875695652
1427.67,819.8947897739131
1428.56,866.1159324913043
1429.46,958.3173809608694
1430.35,1046.2823875347826
1431.25,1130.3729867869565
1432.14,1205.6447350521742
1433.04,1286.8517978521738
1433.93,1341.1299051652172
1434.82,1385.282787473913
1435.72,1410.6793488173912
1436.61,1425.5192325478265
1437.5,1469.888125217391
1438.39,1514.0575829043478
1439.29,1560.2983794260872
1440.18,1620.0779838130434
1441.07,1692.930473834782
1441.96,1781.8500142260873
1442.85,1888.6214219260867
1443.75,1964.8671223130439
1444.64,2058.726845108696
1445.53,2144.030711452174
1446.42,2169.236102773913
1447.31,2243.509184069565
1448.2,2275.303423386956
1449.09,2281.9201157260877
1449.98,2282.4644688391304
1450.87,2257.2716898999993
1451.76,2223.60003003913
1452.65,2199.0177403086955
1453.54,2156.294810447826
1454.43,2085.2577522608703
1455.31,2055.098294652174
1456.2,1979.2303404956522
1457.09,1917.7899664347829
1457.98,1855.7171619956523
1458.87,1790.2793083434783
1459.75,1750.3290034608692
1460.64,1683.7705846826088
1461.53,1651.3777371478263
