Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
528.678,879.8838762,3579.424317,2864.640787,2431.958253,3286.550094,3733.88277,3306.855172,3107.624269,3036.078037,3073.089736,4026.014635,3807.724013,3329.62671,4695.099106,3215.987449,3517.284406,2908.063218,3302.531078,2527.206415,3199.874162
532.922,1038.980034,3720.729239,3266.771192,2819.38958,3762.490102,4205.255757,4217.592489,3691.50886,3413.609224,3349.375923,4962.850641,4416.922434,3842.870743,5152.95035,4026.779156,4386.434715,3803.982443,3821.759333,3041.136083,3939.393044
537.162,1137.776853,3780.204079,2768.492342,2580.140834,3380.200024,3895.398651,3494.049132,3255.023646,3196.00033,3079.272311,4079.506563,3887.931019,3282.174078,5086.620392,3380.340167,3695.755392,3150.74208,3454.076796,2670.855096,3397.452486
541.399,948.9043772,3067.928832,1870.753643,1934.682011,2327.319854,2896.681446,2191.425055,2121.258634,2584.991348,2425.158909,2777.662393,2784.249779,2327.276666,4120.809149,2222.170434,2404.476462,1875.752158,2438.003411,1837.433411,2167.742526
545.633,853.5326461,2201.063492,1263.034477,1226.233104,1702.729586,2117.494135,1544.850206,1467.313829,1962.632274,1740.655732,2143.588127,1930.848724,1667.158455,2954.876534,1542.899906,1625.897948,1180.202703,1892.339123,1298.180981,1698.1832
549.864,969.5617014,1513.628052,848.0642027,890.5241082,1272.289215,1393.366711,927.9745342,1016.559232,1343.293101,1227.382789,1776.523757,1352.147864,1085.479391,2222.352456,1026.63853,1176.749875,837.2837417,1143.111872,786.1677586,1269.854544
554.088,809.9615843,1044.342505,527.9211694,663.8850189,796.3487324,827.7391664,590.3479839,597.300845,1003.843823,843.2200919,1547.009276,915.2672095,620.1094172,1526.556821,632.036251,782.1422644,553.7723011,701.2045952,568.5936949,983.4465962
558.309,860.5823359,529.9108445,364.1747167,507.0858302,497.8681325,495.5254945,320.9105001,372.8876669,608.914434,410.9976529,1259.314678,636.2967694,374.8674776,1037.929532,311.3230124,488.3951411,342.8264077,370.2962314,309.8937399,762.3393916
562.527,998.2239972,215.8830642,169.428179,286.6765367,266.2074085,189.8816875,157.8920269,236.7666971,251.7449267,234.2724826,1215.899954,244.0165535,184.0245143,697.2404907,160.9567578,398.4865281,252.740088,148.2908168,105.0638431,682.4929665
566.742,759.356609,-1.53394315,-3.961112637,-2.612867341,-2.373446446,-1.343262204,6.734508105,14.36293414,40.94029478,50.52759235,900.7750986,102.0565712,-46.2815306,296.9395988,4.459430197,74.46244858,51.10536845,-44.84601222,-52.3740463,456.9473572
570.948,657.9502121,32.21281554,134.3751708,50.82761246,186.1835608,30.74963791,24.09888731,82.77337668,117.1255317,6.930993183,1058.340103,162.7268321,100.9882846,239.7467565,-12.9930274,283.5559259,162.3602756,-3.514019553,58.51702084,519.3625996
575.155,807.1748474,248.2339487,422.3787547,259.1779966,334.624447,272.8353937,499.5501082,346.3120232,152.8056309,82.56969625,1371.944961,529.3873457,376.7793647,312.3518637,334.6693279,605.3019832,602.1558359,331.3870794,252.9175173,861.0087297
579.356,833.1105554,240.2016647,771.7673629,388.8383055,595.7332293,525.6020111,952.5971142,704.312872,391.6955857,210.9407127,1885.129663,955.0181212,550.309114,305.22482,765.8105688,1105.397644,993.4170757,430.6217044,480.4169158,1292.005783
583.552,778.4273767,120.1842719,350.8017151,225.9785597,412.2919244,204.6514958,452.6428487,268.8219212,152.9453895,60.09305361,1205.704203,377.1391682,283.8619368,178.0355251,313.5807678,536.2839305,586.7120215,250.2364748,245.6776889,938.3037966
587.743,779.8853519,313.5517787,84.29952324,183.0187796,219.304549,136.5878538,185.0672536,180.9231681,267.6750356,107.5857301,971.1385716,210.030496,245.1732367,457.113878,113.1489967,290.8448667,326.2196996,194.1442095,110.0883086,689.9428049
591.934,1000.924521,424.4671935,260.9014958,401.4089856,351.60912,420.5410908,289.5502707,203.7966099,342.5645173,365.3047533,898.9027617,389.9321137,204.0434168,702.5797777,332.5283268,439.7934753,323.6481361,285.8866274,207.2622465,675.0428441
596.118,1076.214925,548.1065245,236.2063404,388.719198,412.6876541,344.0612126,135.2418415,133.3182433,426.4938278,422.8031343,893.5567646,273.5340307,140.8488804,669.8631227,200.8008294,339.1477791,244.4183573,279.4183468,284.7709745,642.7539496
600.297,1368.926604,424.7767801,469.135762,633.7594373,574.976168,365.7312249,315.0919072,247.2320652,374.8529606,468.169884,1004.810572,400.5762561,258.8230302,611.0338108,287.2225754,455.5158011,504.9593893,315.280386,362.8319639,905.5361569
604.474,1947.729598,350.0359684,651.9844633,906.6197236,622.1846783,363.4051333,335.7704089,347.4730721,502.8119086,764.5810136,1362.854176,530.9087992,338.747269,793.7917391,438.0986356,633.9055642,563.3412583,465.980963,586.5336858,1037.479502
608.647,2086.503946,457.7130976,829.7161423,1076.160077,831.9432016,489.0289436,561.3072874,426.9202602,581.6806653,782.5825339,1464.047568,558.081669,349.7089991,899.6368041,562.4840804,705.3060911,626.1119904,523.7889954,680.4576111,1243.614019
612.814,2413.36969,684.3731759,1098.36049,1438.920518,1176.591754,778.2596614,685.6924831,622.6546256,804.4292235,1174.334456,1740.070738,737.1148747,556.4636228,1151.738902,806.3889799,837.5074047,916.3466116,644.6569004,985.42521,1537.789744
616.979,4464.996868,1222.156211,2396.897191,2954.411067,2167.430353,1424.800292,1499.445936,1280.813164,1731.387576,2277.79679,3051.703679,1543.748425,1127.873542,2348.927926,1529.413404,1793.749528,1917.249148,1393.913095,1921.776952,2598.986711
621.138,4553.805519,1236.819212,2577.635915,3189.831743,2198.339014,1499.880841,1713.257585,1410.86187,1701.435717,2349.459548,3310.116382,1598.292329,1303.867157,2592.673772,1786.37742,2020.252482,1987.452625,1429.218994,2107.903306,2759.894957
625.296,6075.115683,1708.902186,3647.836312,4517.422566,3374.947754,2067.751315,2541.347368,2041.080737,2585.483638,3646.092739,4697.388836,2423.836596,1729.284869,3394.47633,2570.811096,2749.266292,2810.917069,2110.979013,2911.964738,3793.794515
629.447,10741.2874,2794.42514,6599.558004,8010.553555,5916.886588,3475.901717,4569.485221,3718.579758,4361.181332,6037.776374,7980.751033,4362.471235,3152.757077,6231.20549,4526.424498,5056.390977,5088.792505,3570.033565,5187.421712,6533.80542
633.594,10973.3507,2648.278083,6825.910577,8131.954729,5634.375531,3318.182053,4705.551077,3656.368923,4220.178792,5736.980463,7926.062963,4391.806252,3187.464177,6492.321135,4479.537687,5017.686561,5001.638958,3511.743061,5509.864692,6656.487706
637.738,7549.965632,1831.231022,4591.713551,5607.566107,3813.9346,2237.292328,3084.044866,2413.308217,2790.806009,3850.365015,5394.124614,2826.251658,2127.066563,4279.713146,3061.960723,3403.473066,3400.946453,2352.317909,3661.174132,4526.451406
641.88,5048.042223,1267.533964,2930.856377,3616.627705,2491.043808,1622.692546,2061.88651,1531.847625,1802.472976,2482.420038,3579.825975,1807.097458,1354.344626,2814.271395,1981.413658,2260.150511,2265.415015,1611.928513,2358.680483,3062.656554
646.013,3039.75051,1001.036915,1600.668462,1990.659539,1452.293169,914.9027114,1034.525933,770.2071266,1087.739682,1416.705541,2064.527035,980.443661,679.7187548,1423.645751,925.9965447,1204.898917,1328.754666,858.762273,1345.484194,1896.02318
650.145,2115.950528,648.0248833,966.4991809,1278.071627,963.1626968,647.1278275,604.3830515,409.1897003,550.7461196,912.2015322,1344.577779,590.1902732,445.4093364,844.3360782,576.6594304,734.1983057,819.8754313,596.3765906,900.7057085,1330.561318
654.275,1468.28231,531.2418745,502.1778953,818.7439848,588.6224055,797.1928985,353.9477847,310.0653243,387.5922795,699.7280193,840.5781959,360.3673018,385.3267573,466.6122418,295.9223633,545.5186963,592.2313337,517.8648646,501.6654704,1001.820999
