Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
566.742,1161.959974,2287.02925,1209.411142,722.1408718,1586.645165,1043.67216,703.8392621,3307.991472,2248.809342,1348.918894,1720.764578,1982.683525,1321.824317,937.5639324,1513.156318
570.948,1126.925375,2195.811746,1153.347021,731.9634849,1509.635268,994.6339762,729.6025609,3096.323804,2130.663712,1330.403183,1672.475276,1806.316682,1369.415709,1061.25381,1457.173634
575.155,1205.328542,2288.200202,1252.459944,771.8643244,1555.852294,1103.40333,879.2842406,2967.601096,2097.464303,1442.194563,1866.292507,1855.316097,1433.654345,1204.881494,1547.328068
579.356,1329.849355,2288.774407,1368.619762,981.5832956,1522.236082,1282.370096,934.354214,2801.243076,2143.410919,1556.692886,1983.026088,2008.411577,1702.960082,1398.746868,1514.189469
583.552,1073.657692,1942.694146,961.0063243,733.6203025,1250.506473,909.7541472,776.4923929,2824.649471,1833.853359,1200.238001,1629.265839,1533.122926,1210.372775,1073.589818,1287.027684
587.743,1076.453432,1965.729205,966.7494788,643.9352486,1317.203303,910.075355,701.4986884,3022.590003,1962.611421,1098.719755,1577.871573,1632.129946,1101.682277,855.4702235,1324.742558
591.934,1329.256451,2185.549364,1155.249073,806.0880363,1466.006408,966.7335908,738.0630104,3497.094393,2143.434901,1162.447995,1656.193106,1738.022438,1290.51844,1039.707967,1525.393938
596.118,1216.246625,2128.614403,1089.684952,760.3285677,1340.965623,898.2987245,699.4752686,3100.762358,1924.303592,1130.822565,1535.11025,1610.780201,1178.061115,1013.49293,1377.801665
600.297,903.2038272,1527.784101,680.4269615,493.2167438,1072.37078,680.6206252,497.1553716,2531.69361,1603.617287,786.5333105,1133.302814,1278.073033,890.2701513,745.2249892,1010.275583
604.474,597.2379315,1171.818232,551.5149454,243.7924649,683.3817131,366.9391611,277.0232274,1943.907862,1226.795776,545.4400735,807.0006091,939.06073,615.0753983,465.4740247,759.5355297
608.647,552.4588099,1107.836571,435.6787466,251.9456309,683.0282514,257.7541998,225.7787437,1831.39482,1068.588846,514.4126964,774.6534422,743.5030856,470.9067031,401.0099135,634.2213463
612.814,516.9563337,1137.77889,408.2182078,265.6861415,703.6502254,394.3456084,214.4618275,1863.884191,1071.026286,475.0010208,722.6511208,811.6098939,443.3039128,421.4625327,718.8228709
616.979,608.9003739,1120.984962,435.3431711,374.563896,766.9374645,409.4332538,326.8623861,1865.33568,1034.027882,503.1048878,698.5334512,828.3809478,509.0468738,527.9417588,718.8299414
621.138,530.1708009,1050.864557,521.1234784,303.1487935,697.4697975,406.7370024,279.4103261,1739.548988,1048.493417,548.004138,760.0402391,766.1160392,490.3754322,468.5874682,683.0023952
625.296,539.5974846,941.9674441,436.1889709,306.5707326,628.2670523,372.4767205,255.955554,1712.483815,1055.102677,546.9686115,653.2112896,810.7049595,425.5594336,378.0395365,669.5100687
629.447,481.6302942,987.6733921,412.3894895,308.559612,690.809056,456.5722735,271.4779762,1595.619862,1013.865443,461.7281478,659.8364068,720.2274991,461.6687231,398.787839,645.6327979
633.594,503.8990985,745.7321685,302.1748745,219.8753295,458.5556355,235.583527,147.6774984,1402.326824,763.2014992,376.212586,496.8753943,554.4134477,312.4731452,274.4822505,513.4904178
637.738,370.0337658,608.9935399,194.4349659,147.9977832,374.3766165,191.5803456,135.8340264,1147.224397,573.8206248,300.2717645,433.7980551,383.9925941,281.0225443,222.5426454,328.2727631
641.88,182.7341638,440.5272719,88.84960334,94.03687042,221.7418245,26.03259413,28.26746578,935.132276,425.0226002,170.6355217,216.7641914,290.6347268,185.4167641,163.878898,230.4396677
646.013,186.9101599,255.7131298,-36.97137368,-17.99751126,44.33108467,-9.399863126,45.43772183,845.9801528,309.0972051,-28.08630471,71.19360536,151.2496337,71.88564828,78.21088222,197.0509654
650.145,137.1716214,242.4308782,-7.208125795,-4.385464515,187.9042218,-36.64716173,-12.74130004,628.2977196,231.1342185,-11.47387697,56.63609868,63.86710253,-18.14095978,-25.7415282,138.6764896
654.275,140.7184152,246.7202816,20.44955604,9.423087938,153.4810608,8.520656704,72.78830548,674.8046677,319.0634191,5.59292345,63.60147306,109.9069209,-21.03321676,76.67154048,259.9860735
658.397,230.1104083,309.9411043,29.25195296,109.1682673,136.9414263,82.493917,118.4185711,802.2106875,302.5845856,21.18432981,120.4395301,138.6388762,100.3789021,60.87021937,199.7395503
